Account,date,sentiment_bucket,trades,daily_pnl_usd,avg_trade_size_usd,total_notional_usd,realized_trades,wins,losses,buy_notional_usd,sell_notional_usd,avg_leverage_proxy,p90_leverage_proxy,total_fees_usd,win_rate,long_short_ratio,net_long_bias,cum_pnl_usd,running_peak_usd,drawdown_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-30,Greed,52,354.998648,13510.58096153846,702550.21,33,23,10,326054.41,376495.8,10.02974709880798,50.0,175.637526,0.696969696969697,0.8660240300157398,-0.071797558782311,2016.006985,3072.787645,-1056.78066
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-01,Greed,18,-129.53146,14679.973888888888,264239.52999999997,6,1,5,132184.58000000002,132054.95,10.553961956421961,50.0,66.059867,0.16666666666666666,1.0009816368110396,0.000490577620994119,1886.475525,3072.787645,-1186.3121199999998
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-02,Greed,17,783.979116,7138.1611764705885,121348.74,9,8,1,60282.32000000001,61066.420000000006,7.798120963950769,26.748610233716832,30.337176,0.8888888888888888,0.9871598826327137,-0.006461542163519719,2670.4546410000003,3072.787645,-402.3330039999996
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-03,Greed,67,866.015507,5888.050149253731,394499.36,35,28,7,196816.89999999997,197682.46,8.022084675992762,50.0,98.624811,0.8,0.9956214628247745,-0.0021940720005224463,3536.470148,3536.470148,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-04,Greed,5,-67.60364,19958.508,99792.54000000001,3,0,3,49930.07,49862.47,10.61051684964395,30.428629579559427,24.948132,0.0,1.0013557290683754,0.0006774053451289832,3468.866508,3536.470148,-67.60363999999981
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-05,Greed,66,164.141565,25817.31303030303,1703942.66,23,13,10,851889.51,852053.15,14.734211026465637,50.0,425.985639,0.5652173913043478,0.9998079462531181,-9.603609548693021e-05,3633.008073,3633.008073,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-06,Greed,22,135.58166400000002,13569.154545454547,298521.4,12,10,2,149192.99,149328.41,11.129974306062211,49.469681537292765,74.630342,0.8333333333333334,0.9990931397448081,-0.0004536358197436175,3768.5897370000002,3768.5897370000002,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-07,Greed,97,-835.681235,10812.887216494846,1048850.06,37,9,28,552950.84,495899.2199999999,11.894128659896948,50.0,262.212464,0.24324324324324326,1.1150468032597431,0.05439444795379047,2932.908502,3768.5897370000002,-835.681235
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-08,Greed,128,-269.874439,11894.159609375,1522452.43,67,32,35,734253.79,788198.64,8.736912523164358,50.0,380.613064,0.47761194029850745,0.931559321137626,-0.03543286406656393,2663.034063,3768.5897370000002,-1105.5556740000002
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-09,Greed,70,-826.349863,12429.313857142857,870051.97,28,18,10,434438.58999999997,435613.38,11.752930936856675,50.0,204.012928,0.6428571428571429,0.9973031360974265,-0.0013502526751362173,1836.6842,3768.5897370000002,-1931.9055370000003
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-10,Greed,193,-1517.091342,10660.515440414507,2057479.48,83,41,42,1029498.32,1027981.1599999999,9.199550574297856,50.0,434.044865,0.4939759036144578,1.0014758636238041,0.0007373876700826353,319.592858,3768.5897370000002,-3448.9968790000003
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-11,Greed,19,-164.08950099999998,13641.064736842105,259180.22999999998,9,5,4,129672.09,129508.13999999998,14.946718343860505,50.0,64.795045,0.5555555555555556,1.001265943592426,0.0006325713963600195,155.503357,3768.5897370000002,-3613.08638
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-12,Greed,7,-1925.519024,28583.181428571428,200082.27,2,0,2,102003.63999999998,98078.63,22.746321729313234,50.0,49.480726999999995,0.0,1.0400190133161524,0.019616980555048485,-1770.015667,3768.5897370000002,-5538.605404
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-15,Neutral,5,0.0,10001.248,50006.24,0,0,0,50006.24,-0.0,14.693032120554957,38.092867001840425,12.501555,,,0.99999999999998,-1770.015667,3768.5897370000002,-5538.605404
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-16,Greed,3,939.6285419999999,17648.416666666668,52945.25,3,3,0,0.0,52945.25,0.3324797779616158,0.797951467107878,13.236312,1.0,0.0,-0.9999999999999811,-830.387125,3768.5897370000002,-4598.976862
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-17,Greed,53,813.2741110000001,15110.019433962265,800831.03,19,11,8,400008.8400000001,400822.19000000006,8.757834678580167,50.0,159.707606,0.5789473684210527,0.9979707959781369,-0.0010156324736817148,-17.113013999999907,3768.5897370000002,-3785.7027510000003
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-18,Greed,46,68.93319,9231.120217391304,424631.52999999997,9,3,6,224782.04000000004,199849.49,5.244560194596694,9.667224196683758,92.657901,0.3333333333333333,1.1247566356061256,0.05871572937600745,51.82017600000009,3768.5897370000002,-3716.769561
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-19,Neutral,39,-385.215235,10946.209230769231,426902.16,23,5,18,202143.33000000005,224758.82999999996,6.117643200544,12.674688767722746,92.685441,0.21739130434782608,0.8993788141716171,-0.0529758387729869,-333.39505899999995,3768.5897370000002,-4101.984796000001
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-20,Neutral,106,-146.57487000000003,10095.193490566038,1070090.51,32,15,17,559236.61,510853.9,12.617929059181803,50.0,267.522583,0.46875,1.0947094854321362,0.04521366141262193,-479.969929,3768.5897370000002,-4248.559666
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-21,Greed,11,266.58114600000005,9375.43090909091,103129.74,5,3,2,50298.229999999996,52831.51,11.165024611142222,50.0,25.78243,0.6,0.9520498278394843,-0.024564010342700192,-213.38878299999993,3768.5897370000002,-3981.97852
